World_ID,Heuristic,Success,Collided,Timeout,Time_Taken(s),Nav_Metric
186,orig,True,False,False,15.1510,0.3914
186,orig,True,False,False,14.0390,0.4224
186,orig,True,False,False,14.2480,0.4162
186,orig,True,False,False,14.4800,0.4095
189,orig,True,False,False,9.5960,0.5000
189,orig,True,False,False,9.9180,0.5000
189,orig,True,False,False,10.0120,0.5000
189,orig,True,False,False,9.8250,0.5000
189,orig,True,False,False,10.1430,0.5000
192,orig,True,False,False,26.9260,0.2081
192,orig,True,False,False,27.6450,0.2027
192,orig,True,False,False,24.8070,0.2259
192,orig,True,False,False,21.1690,0.2648
192,orig,False,True,False,16.0390,0.0000
195,orig,True,False,False,10.4260,0.5000
195,orig,True,False,False,11.3373,0.4690
195,orig,True,False,False,11.6373,0.4790
195,orig,True,False,False,12.4570,0.4442
195,orig,True,False,False,11.5790,0.4779
198,orig,True,False,False,10.4320,0.5000
198,orig,True,False,False,10.4350,0.5000
198,orig,True,False,False,18.2690,0.3133
198,orig,True,False,False,13.1022,0.4361
198,orig,True,False,False,13.2730,0.4313
201,orig,True,False,False,11.9930,0.5000
201,orig,True,False,False,11.4810,0.5000
201,orig,True,False,False,11.7890,0.5000
201,orig,True,False,False,11.5830,0.5000
201,orig,True,False,False,11.6510,0.5000
204,orig,True,False,False,14.3850,0.4825
204,orig,True,False,False,13.3950,0.5000
204,orig,True,False,False,13.3950,0.5000
204,orig,True,False,False,13.4900,0.5000
204,orig,True,False,False,13.7160,0.5000
207,orig,True,False,False,26.1920,0.2070
207,orig,False,True,False,9.9090,0.0000
207,orig,True,False,False,29.9010,0.1813
207,orig,False,True,False,14.4890,0.0000
207,orig,True,False,False,33.4850,0.1619
210,orig,True,False,False,11.3420,0.4619
210,orig,True,False,False,11.3480,0.4617
210,orig,True,False,False,11.0330,0.4749
210,orig,True,False,False,11.1260,0.4709
210,orig,True,False,False,11.2460,0.4659
213,orig,True,False,False,12.9650,0.4106
213,orig,False,True,False,10.9060,0.0000
213,orig,True,False,False,14.0480,0.3789
213,orig,False,True,False,16.1610,0.0000
213,orig,True,False,False,10.5680,0.5000
216,orig,True,False,False,14.3688,0.4137
216,orig,True,False,False,11.8330,0.4777
216,orig,True,False,False,11.9410,0.4734
216,orig,True,False,False,20.4890,0.2759
216,orig,True,False,False,13.2120,0.4278
219,orig,True,False,False,25.1080,0.2445
219,orig,True,False,False,22.8390,0.2687
219,orig,True,False,False,24.2630,0.2530
219,orig,True,False,False,22.7260,0.2701
219,orig,True,False,False,15.0220,0.4086
222,orig,True,False,False,13.6680,0.3989
222,orig,True,False,False,12.1930,0.4472
222,orig,True,False,False,32.3030,0.1688
222,orig,True,False,False,12.1650,0.4482
222,orig,True,False,False,13.1690,0.4140
225,orig,True,False,False,11.4690,0.4687
225,orig,True,False,False,11.7680,0.4568
225,orig,True,False,False,11.6640,0.4609
225,orig,True,False,False,11.4870,0.4680
225,orig,True,False,False,11.5010,0.4674
228,orig,True,False,False,12.3540,0.5000
228,orig,True,False,False,12.7258,0.4950
228,orig,True,False,False,12.8460,0.4935
228,orig,True,False,False,12.8890,0.4918
228,orig,True,False,False,12.8140,0.4947
231,orig,True,False,False,11.6480,0.5000
231,orig,True,False,False,11.6070,0.5000
231,orig,True,False,False,11.4655,0.5000
231,orig,True,False,False,11.2650,0.5000
231,orig,True,False,False,11.3420,0.5000
234,orig,True,False,False,11.6370,0.4616
234,orig,True,False,False,11.4860,0.4677
234,orig,True,False,False,11.5530,0.4650
234,orig,True,False,False,11.7470,0.4573
234,orig,True,False,False,11.5550,0.4649
237,orig,True,False,False,11.4180,0.5000
237,orig,True,False,False,11.2930,0.5000
237,orig,True,False,False,11.0860,0.5000
237,orig,True,False,False,11.1960,0.5000
237,orig,True,False,False,10.9870,0.5000
240,orig,True,False,False,12.6610,0.5000
240,orig,True,False,False,12.6260,0.5000
240,orig,True,False,False,12.6580,0.5000
240,orig,True,False,False,12.7320,0.5000
240,orig,True,False,False,13.3480,0.4799
243,orig,False,True,False,11.8770,0.0000
243,orig,True,False,False,17.9090,0.3790
243,orig,True,False,False,15.3600,0.4419
243,orig,True,False,False,16.0670,0.4224
243,orig,True,False,False,18.5320,0.3663
246,orig,True,False,False,11.9440,0.4576
246,orig,True,False,False,12.0650,0.4530
246,orig,True,False,False,12.0710,0.4528
246,orig,True,False,False,11.9270,0.4582
246,orig,True,False,False,12.0490,0.4536
249,orig,True,False,False,11.3850,0.4945
249,orig,True,False,False,11.3830,0.4946
249,orig,True,False,False,11.3660,0.4954
249,orig,True,False,False,11.2680,0.4997
249,orig,True,False,False,11.3860,0.4945
252,orig,True,False,False,8.9830,0.5000
252,orig,True,False,False,9.7130,0.5000
252,orig,True,False,False,9.4850,0.5000
252,orig,True,False,False,9.3233,0.5000
252,orig,True,False,False,9.1120,0.5000
255,orig,True,False,False,13.9100,0.4124
255,orig,True,False,False,13.8060,0.4155
255,orig,True,False,False,13.6900,0.4190
255,orig,True,False,False,13.8380,0.4145
255,orig,True,False,False,14.0060,0.4095
258,orig,True,False,False,9.9880,0.5000
258,orig,True,False,False,9.8810,0.5000
258,orig,True,False,False,9.8180,0.5000
0,new,True,False,False,10.1590,0.5000
0,new,True,False,False,10.5230,0.5000
0,new,True,False,False,10.7450,0.5000
0,new,True,False,False,10.8400,0.5000
0,new,True,False,False,10.5260,0.5000
3,new,True,False,False,10.3250,0.5000
3,new,True,False,False,9.9990,0.5000
3,new,True,False,False,10.1400,0.5000
3,new,True,False,False,10.3640,0.5000
3,new,True,False,False,10.3180,0.5000
6,new,True,False,False,11.6670,0.5000
6,new,True,False,False,11.3740,0.5000
6,new,True,False,False,11.4780,0.5000
6,new,True,False,False,11.2540,0.5000
6,new,True,False,False,11.3620,0.5000
9,new,True,False,False,8.6360,0.5000
9,new,True,False,False,8.7840,0.5000
9,new,True,False,False,8.9830,0.5000
9,new,True,False,False,8.7730,0.5000
9,new,True,False,False,8.7660,0.5000
12,new,True,False,False,12.0580,0.4887
12,new,True,False,False,11.9570,0.4928
12,new,True,False,False,11.8880,0.4957
12,new,True,False,False,12.0260,0.4900
12,new,True,False,False,12.0430,0.4893
15,new,True,False,False,10.8380,0.5000
15,new,True,False,False,11.3000,0.5000
15,new,True,False,False,10.8850,0.5000
15,new,True,False,False,11.0530,0.5000
15,new,True,False,False,10.8710,0.5000
18,new,True,False,False,8.9880,0.5000
18,new,True,False,False,7.7220,0.5000
18,new,True,False,False,8.0720,0.5000
18,new,True,False,False,8.2290,0.5000
18,new,True,False,False,8.1810,0.5000
21,new,True,False,False,12.4950,0.4664
21,new,True,False,False,10.8840,0.5000
21,new,True,False,False,10.1320,0.5000
21,new,True,False,False,11.0648,0.4916
21,new,True,False,False,10.7480,0.5000
24,new,True,False,False,14.0100,0.4411
24,new,True,False,False,13.0170,0.4748
24,new,True,False,False,15.0300,0.4112
24,new,True,False,False,13.6180,0.4538
24,new,True,False,False,13.0820,0.4724
27,new,True,False,False,8.9980,0.5000
27,new,True,False,False,9.6060,0.5000
27,new,True,False,False,8.8500,0.5000
27,new,True,False,False,9.1880,0.5000
27,new,True,False,False,9.1390,0.5000
30,new,True,False,False,13.4990,0.4386
30,new,True,False,False,13.4670,0.4397
30,new,True,False,False,13.6400,0.4341
30,new,True,False,False,13.4490,0.4403
30,new,True,False,False,16.1370,0.3669
33,new,True,False,False,12.1730,0.5000
33,new,True,False,False,13.9390,0.4540
33,new,True,False,False,13.9070,0.4551
33,new,True,False,False,13.8710,0.4563
33,new,True,False,False,13.4725,0.4664
36,new,True,False,False,9.6070,0.5000
36,new,True,False,False,9.5040,0.5000
36,new,True,False,False,9.5350,0.5000
36,new,True,False,False,9.6220,0.5000
36,new,True,False,False,9.5150,0.5000
39,new,True,False,False,9.8990,0.5000
39,new,True,False,False,10.1940,0.5000
39,new,True,False,False,10.0250,0.5000
39,new,True,False,False,9.9860,0.5000
39,new,True,False,False,10.0340,0.5000
42,new,True,False,False,7.7220,0.5000
42,new,True,False,False,6.2880,0.5000
42,new,True,False,False,8.6790,0.5000
42,new,True,False,False,8.4690,0.5000
42,new,True,False,False,7.8470,0.5000
45,new,True,False,False,9.1010,0.5000
45,new,True,False,False,9.1640,0.5000
45,new,True,False,False,9.4670,0.5000
45,new,True,False,False,8.9010,0.5000
45,new,True,False,False,8.9920,0.5000
48,new,False,True,False,27.1270,0.0000
48,new,True,False,False,30.8690,0.1849
48,new,True,False,False,24.3180,0.2346
48,new,False,True,False,18.1860,0.0000
48,new,True,False,False,44.7130,0.1276
51,new,True,False,False,10.6420,0.5000
51,new,True,False,False,10.8510,0.5000
51,new,True,False,False,10.6340,0.5000
51,new,True,False,False,10.7480,0.5000
51,new,True,False,False,10.6810,0.5000
54,new,True,False,False,8.7520,0.5000
54,new,True,False,False,7.9470,0.5000
54,new,True,False,False,7.9500,0.5000
54,new,True,False,False,7.9360,0.5000
54,new,True,False,False,7.8600,0.5000
57,new,True,False,False,12.8120,0.4170
57,new,True,False,False,10.8080,0.4943
57,new,True,False,False,12.8210,0.4167
57,new,True,False,False,12.6710,0.4216
57,new,True,False,False,13.5620,0.3939
60,new,True,False,False,8.9000,0.5000
60,new,True,False,False,8.9100,0.5000
60,new,True,False,False,9.3460,0.5000
60,new,True,False,False,9.0110,0.5000
60,new,True,False,False,8.9140,0.5000
63,new,True,False,False,10.8550,0.4873
63,new,True,False,False,10.9160,0.4846
63,new,True,False,False,11.1400,0.4748
63,new,True,False,False,10.8350,0.4882
63,new,True,False,False,11.1670,0.4737
66,new,True,False,False,12.5350,0.4292
66,new,True,False,False,14.3600,0.3747
66,new,True,False,False,12.8070,0.4201
66,new,True,False,False,12.4300,0.4329
66,new,True,False,False,12.6460,0.4255
69,new,True,False,False,10.9100,0.5000
69,new,True,False,False,11.1930,0.5000
69,new,True,False,False,11.1130,0.5000
69,new,True,False,False,11.0060,0.5000
69,new,True,False,False,10.9340,0.5000
72,new,True,False,False,8.6400,0.5000
72,new,True,False,False,8.2580,0.5000
72,new,True,False,False,8.6620,0.5000
72,new,True,False,False,8.7510,0.5000
72,new,True,False,False,8.7480,0.5000
75,new,True,False,False,7.9400,0.5000
75,new,True,False,False,7.7720,0.5000
75,new,True,False,False,8.0770,0.5000
75,new,True,False,False,7.7620,0.5000
75,new,True,False,False,8.1450,0.5000
78,new,True,False,False,53.8850,0.1250
78,new,True,False,False,24.4470,0.2695
78,new,False,True,False,13.6740,0.0000
78,new,True,False,False,24.7620,0.2661
78,new,False,True,False,27.7540,0.0000
81,new,True,False,False,11.0240,0.4801
81,new,True,False,False,11.2620,0.4699
81,new,True,False,False,11.1440,0.4749
81,new,True,False,False,11.1160,0.4761
81,new,True,False,False,11.1480,0.4747
84,new,True,False,False,10.7400,0.5000
84,new,True,False,False,10.7430,0.5000
84,new,True,False,False,10.8700,0.5000
84,new,True,False,False,10.6480,0.5000
84,new,True,False,False,10.6460,0.5000
87,new,True,False,False,9.5250,0.5000
87,new,True,False,False,9.6060,0.5000
87,new,True,False,False,9.5960,0.5000
87,new,True,False,False,9.3290,0.5000
87,new,True,False,False,8.8690,0.5000
90,new,True,False,False,12.4870,0.4514
90,new,True,False,False,12.7040,0.4436
